PERIODO,PRECOS1,PRECOS2,PRECOS4,BANDEIRAS,CODIGO
20.07.2019,"1440.31","1806.83","1655,61",​Bandeira Amarela,2
23.08.2019,"1385.62","1743.52",​"1602,89",Bandeira Vermelha Patamar 1,3
20.09.2019,"1611.41","1974.60","1840,83"​​,Bandeira Vermelha Patamar 1,3
10.10.2019,"1711.77","2081.81",​​"1957,26",Bandeira Amarela,2
28.12.2019,"2073.68","2451.37",​"2337,3",Bandeira Amarela,2
24.01.2020,"1968.13","2361.41",​"2268,01",Bandeira Amarela,2
29.02.2020,"1613.08","2065.15",​"1890,91",Bandeira Verde,1
31.03.2020,"959.028","1417.67",​​"1248,62",Bandeira Verde,1
29.04.2020,"802.816","1268.71",​​​"1109,56",Bandeira Verde,1
23.05.2020,"1267.43","1719.21",​"1541,05",Bandeira Verde,1
20.06.2020,"1366.51","1806.43",​"1614,16",Bandeira Verde,1
15.07.2020,"1453.05","1894.93",​​"1702,06",Bandeira Verde,1
28.08.2020,"1773.11","2213.04",​"2021,64",Bandeira Verde,1
26.09.2020,"1623.47","2061.63",​"1870,53",Bandeira Verde,1
31.10.2020,"1630.33","2065.55",​"1872,19",Bandeira Verde,1
25.11.2020,"1773.70","2209.80",​"2018,8",Bandeira Verde,1
19.12.2020,"1876.60","2310.15",​​​​"2117",Bandeira Vermelha Patamar 2,4
12.01.2021,"2110.92","2545.94",​"2353,76",Bandeira Amarela,2
25.02.2021,"2416.78","2858.46",​"2674,91",Bandeira Amarela,2
24.03.2021,"2434.52","2888.16",​"2718,42",Bandeira Amarela,2
27.04.2021,"2449.12","2904.03",​​"2732,14",Bandeira Amarela,2
29.05.2021,"2420.11","2874.44",​​"2692,06",Bandeira Vermelha Patamar 1,3
24.06.2021,"2405.90","2859.44",​​​​​"2677,07",Bandeira Vermelha Patamar 2,4
21.07.2021,"2511.25","2957.44",​​​​​​"2514,78",Bandeira Vermelha Patamar 2,4
